dataset,protocol,data_role,sequence,tracker,contrast,description,baseline,treatment,tau_a,tau_m,gt_used_by_linker_or_verifier,gt_use,baseline_HOTA,treatment_HOTA,delta_HOTA,baseline_AssA,treatment_AssA,delta_AssA,baseline_IDF1,treatment_IDF1,delta_IDF1,baseline_IDSW,treatment_IDSW,delta_IDSW,baseline_accepted_links,baseline_accepted_correct,baseline_accepted_false,baseline_accepted_unknown,treatment_accepted_links,treatment_accepted_correct,treatment_accepted_false,treatment_accepted_unknown
M3OT,development,development,M3OT/2/ir/val/2-08T,bytetrack,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",94.39495340863073,94.1875714954364,-0.2073819131943253,93.90167054848341,93.48933470009861,-0.4123358483847994,98.02522614345777,97.84685947254428,-0.17836667091349057,2,4,2,10,8,1,1,9,6,2,1
M3OT,development,development,M3OT/2/ir/val/2-08T,ocsort,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.01188743136667,97.01188743136667,0.0,95.79234964725343,95.79234964725343,0.0,97.51377675253107,97.51377675253107,0.0,2,2,0,10,9,1,0,10,9,1,0
M3OT,development,development,M3OT/2/rgb/val/2-08,bytetrack,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",95.68914716653936,95.68914716653936,0.0,95.67316321825757,95.67316321825757,0.0,98.57943925233646,98.57943925233646,0.0,1,1,0,0,0,0,0,0,0,0,0
M3OT,development,development,M3OT/2/rgb/val/2-08,ocsort,hungarian_full_verifier,Hungarian + full verifier/reassignment minus Hungarian,cost_h,cost_h_full_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.9784501584312,97.9784501584312,0.0,97.32888435836351,97.32888435836351,0.0,98.13470205307962,98.13470205307962,0.0,1,1,0,0,0,0,0,0,0,0,0
M3OT,development,development,M3OT/1/ir/val/1-08T,bytetrack,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",93.8139084453356,93.5173527474819,-0.29655569785370517,93.5742203443645,92.9860382625666,-0.5881820817979104,98.34273940696944,98.03816178446654,-0.30457762250290443,1,3,2,6,3,1,2,5,1,2,2
M3OT,development,development,M3OT/1/ir/val/1-08T,ocsort,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.62556833474638,97.43258483103867,-0.19298350370770834,97.51830214101534,97.13314028050411,-0.38516186051123213,98.76320303331227,98.56459330143541,-0.19860973187685715,2,4,2,6,4,2,0,5,2,3,0
M3OT,development,development,M3OT/1/rgb/val/1-08,bytetrack,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",93.18331179640991,93.18331179640991,0.0,93.65072633344991,93.65072633344991,0.0,99.54537506557091,99.54537506557091,0.0,1,1,0,2,2,0,0,2,2,0,0
M3OT,development,development,M3OT/1/rgb/val/1-08,ocsort,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.85513745108297,97.85513745108297,0.0,97.77044456021233,97.77044456021233,0.0,98.8906497622821,98.8906497622821,0.0,1,1,0,3,2,1,0,3,2,1,0
M3OT,development,development,M3OT/2/ir/val/2-08T,bytetrack,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",94.39495340863073,94.1875714954364,-0.2073819131943253,93.90167054848341,93.48933470009861,-0.4123358483847994,98.02522614345777,97.84685947254428,-0.17836667091349057,2,4,2,10,8,1,1,9,6,2,1
M3OT,development,development,M3OT/2/ir/val/2-08T,ocsort,margin_only,Hungarian + margin-only verifier/reassignment minus Hungarian,cost_h,cost_h_margin_reassign,0.1,4.0,False,"oracle tracker input plus metrics/post-hoc edge labels; not crop admission, candidates, solver, or verifier",97.01188743136667,97.01188743136667,0.0,95.79234964725343,95.79234964725343,0.0,97.51377675253107,97.51377675253107,0.0,2,2,0,10,9,1,0,10,9,1,0
